epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.30198,1.79437,3.66815,1.68228,0.00345,0.35,0.00395,0.00132,2.0001,3.71021,2.04386,3.334e-05,3.334e-05,3.334e-05
2,10.2776,1.33897,3.28711,1.36613,0.00524,0.5,0.39918,0.27253,1.1671,3.18157,1.19671,8.16997e-05,8.16997e-05,8.16997e-05
3,15.8127,1.17643,2.88308,1.22829,0.00972,0.91667,0.40794,0.33875,0.98329,3.07056,0.98879,0.000128079,0.000128079,0.000128079
4,20.6709,0.98446,2.42166,1.10477,0.01053,1,0.46828,0.38833,0.91491,2.86866,0.86003,0.000172478,0.000172478,0.000172478
5,25.885,1.07641,2.02632,1.1295,0.01057,1,0.50982,0.40196,0.98544,2.71389,0.88338,0.000214896,0.000214896,0.000214896
6,30.99,0.93117,1.75241,1.08178,1,0.41673,0.62464,0.44224,0.96274,2.29229,0.92368,0.000255334,0.000255334,0.000255334
7,36.1697,0.89885,1.38427,1.06083,1,0.44554,0.63193,0.46668,0.94299,2.25305,0.91219,0.000293792,0.000293792,0.000293792
8,40.9223,0.93088,1.26991,1.07239,1,0.48442,0.81214,0.53834,0.85654,2.21643,0.95321,0.000330269,0.000330269,0.000330269
9,45.538,0.95388,1.38227,1.08668,0.99775,0.5,0.84979,0.57885,0.9213,2.08578,0.9439,0.000364766,0.000364766,0.000364766
10,50.1754,0.97004,1.26621,1.05939,0.98204,0.5,0.96083,0.58137,0.91127,2.02685,0.94315,0.000397283,0.000397283,0.000397283
11,54.8409,1.01961,1.2253,1.06,0.98357,0.5,0.95864,0.58526,0.94933,2.08673,0.97603,0.000427819,0.000427819,0.000427819
12,59.4161,0.94127,1.17613,1.01362,0.99363,0.5,0.963,0.61218,1.02973,1.99024,0.96341,0.000456375,0.000456375,0.000456375
13,64.0085,0.93703,1.16918,1.04621,1,0.48849,0.975,0.626,0.98318,1.86553,0.93953,0.00048295,0.00048295,0.00048295
14,68.702,0.96965,1.07823,1.06596,1,0.44829,0.82113,0.50776,1.0405,1.8306,0.94288,0.000507545,0.000507545,0.000507545
15,73.5036,0.8907,1.07157,1.03394,1,0.44829,0.82113,0.50776,1.0405,1.8306,0.94288,0.000530159,0.000530159,0.000530159
16,78.3505,0.90551,1.04384,1.0236,1,0.49187,0.85125,0.54102,1.09418,1.70973,0.99801,0.000550793,0.000550793,0.000550793
17,83.3236,0.80584,1.06631,0.99226,1,0.49703,0.8635,0.5504,1.08746,1.53754,0.99174,0.000569447,0.000569447,0.000569447
18,88.2842,0.83575,1.02416,1.02591,1,0.49703,0.8635,0.5504,1.08746,1.53754,0.99174,0.000586121,0.000586121,0.000586121
19,93.0138,0.79675,0.90228,0.96739,0.87531,0.5,0.90979,0.65197,1.00555,1.39214,0.93317,0.000600813,0.000600813,0.000600813
20,97.6183,0.87228,0.98915,0.99638,0.95413,0.60389,0.90942,0.6644,0.96409,1.35164,0.93559,0.000613526,0.000613526,0.000613526
21,102.197,0.82385,0.97383,0.97109,0.95413,0.60389,0.90942,0.6644,0.96409,1.35164,0.93559,0.000624258,0.000624258,0.000624258
22,106.73,0.80008,0.95466,0.99347,0.95499,0.60498,0.845,0.64273,0.90963,1.33283,0.94045,0.00063301,0.00063301,0.00063301
23,111.387,0.80473,0.92308,0.98747,0.95499,0.60498,0.845,0.64273,0.90963,1.33283,0.94045,0.000639781,0.000639781,0.000639781
24,115.957,0.79992,0.9043,0.96896,0.95576,0.62767,0.95929,0.71225,0.90395,1.30252,0.91283,0.000644572,0.000644572,0.000644572
25,120.429,0.82658,0.92958,0.96907,0.95576,0.62767,0.95929,0.71225,0.90395,1.30252,0.91283,0.000647383,0.000647383,0.000647383
26,125.063,0.79232,0.91517,1.00382,0.95776,0.68837,0.98357,0.74737,0.88502,1.24586,0.88347,0.000648213,0.000648213,0.000648213
27,129.705,0.76582,0.92117,0.96875,0.95776,0.68837,0.98357,0.74737,0.88502,1.24586,0.88347,0.000647063,0.000647063,0.000647063
28,134.3,0.82382,0.93787,1.01543,0.95571,0.74672,0.98357,0.73271,0.91469,1.23148,0.90976,0.000643932,0.000643932,0.000643932
29,138.744,0.81252,0.85903,0.96324,0.95571,0.74672,0.98357,0.73271,0.91469,1.23148,0.90976,0.000638821,0.000638821,0.000638821
30,143.374,0.75767,0.88917,0.97263,0.95571,0.74672,0.98357,0.73271,0.91469,1.23148,0.90976,0.00063173,0.00063173,0.00063173
31,147.962,0.81984,0.88562,0.98007,0.95577,0.75992,0.995,0.736,0.87883,1.19113,0.92763,0.000622658,0.000622658,0.000622658
32,152.466,0.81979,1.01735,1.01511,0.95577,0.75992,0.995,0.736,0.87883,1.19113,0.92763,0.000611606,0.000611606,0.000611606
33,157.112,0.80715,0.86193,1.00032,0.9217,0.93809,0.995,0.72873,0.88789,1.17398,0.94765,0.000598573,0.000598573,0.000598573
34,161.623,0.74816,0.82141,0.99301,0.9217,0.93809,0.995,0.72873,0.88789,1.17398,0.94765,0.000577782,0.000577782,0.000577782
35,166.15,0.80949,0.90396,1.01576,0.9217,0.93809,0.995,0.72873,0.88789,1.17398,0.94765,0.000544776,0.000544776,0.000544776
36,170.718,0.76341,0.8484,1.01428,0.93647,0.90268,0.975,0.74869,0.8974,1.06364,0.95552,0.000511769,0.000511769,0.000511769
37,175.271,0.74089,0.82516,0.96958,0.93647,0.90268,0.975,0.74869,0.8974,1.06364,0.95552,0.000478762,0.000478762,0.000478762
38,179.819,0.72507,0.82183,0.9885,0.93647,0.90268,0.975,0.74869,0.8974,1.06364,0.95552,0.000445756,0.000445756,0.000445756
39,184.316,0.67699,0.7934,0.96936,0.86419,0.94269,0.98357,0.75316,0.8843,0.97604,0.93977,0.000412749,0.000412749,0.000412749
40,189.082,0.68531,0.80698,0.9331,0.86419,0.94269,0.98357,0.75316,0.8843,0.97604,0.93977,0.000379743,0.000379743,0.000379743
41,193.639,0.63214,1.06046,0.93972,0.88644,0.91667,0.975,0.75694,0.89553,0.93264,0.93737,0.000346736,0.000346736,0.000346736
42,198.209,0.60058,0.92278,0.93145,0.88644,0.91667,0.975,0.75694,0.89553,0.93264,0.93737,0.000313729,0.000313729,0.000313729
43,202.908,0.54962,0.8754,0.92727,0.88644,0.91667,0.975,0.75694,0.89553,0.93264,0.93737,0.000280723,0.000280723,0.000280723
44,207.492,0.52879,0.91048,0.91948,0.95006,0.91667,0.98357,0.75286,0.88551,0.90668,0.9325,0.000247716,0.000247716,0.000247716
45,212.124,0.5833,0.89793,0.94443,0.95006,0.91667,0.98357,0.75286,0.88551,0.90668,0.9325,0.00021471,0.00021471,0.00021471
46,216.702,0.60113,0.94275,0.9176,0.95006,0.91667,0.98357,0.75286,0.88551,0.90668,0.9325,0.000181703,0.000181703,0.000181703
47,221.32,0.60067,0.89432,0.92627,0.96807,0.91126,0.98357,0.74409,0.90136,0.90368,0.93923,0.000148696,0.000148696,0.000148696
48,225.879,0.57744,0.85771,0.96223,0.96807,0.91126,0.98357,0.74409,0.90136,0.90368,0.93923,0.00011569,0.00011569,0.00011569
49,230.426,0.57404,0.86499,0.95702,0.88298,1,0.98357,0.74409,0.90339,0.87829,0.94362,8.26832e-05,8.26832e-05,8.26832e-05
50,235.24,0.53422,0.85513,0.92744,0.88298,1,0.98357,0.74409,0.90339,0.87829,0.94362,4.96766e-05,4.96766e-05,4.96766e-05
